id,idm,pseudo,type,ids,sid,titre,description,prix,unite,negociable,date_enregistrement,lat,lng,ville ,disponibilité,rayon
907,65,agence15,a proposer,2,1,Initiation à l'informatique,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:58:50,45.781,4.82435,LYON(69004),O,30
906,65,agence15,a proposer,2,1,Formation Windows XP/Vista/7/8,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:58:28,45.781,4.82435,LYON(69004),O,6
905,65,agence15,a proposer,2,1,Formation Outlook,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:58:06,45.781,4.82435,LYON(69004),O,13
904,65,agence15,a proposer,2,1,Formation Publisher,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:57:46,45.781,4.82435,LYON(69004),O,29
903,65,agence15,a proposer,2,1,Formation Photos/Vidéos/Trucage/Retouche,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:57:18,45.781,4.82435,LYON(69004),N,26
902,65,agence15,a proposer,2,1,Formation transfert de films et vidéos,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:56:47,45.781,4.82435,LYON(69004),O,3
901,65,agence15,a proposer,2,1,Apprendre à  utiliser les périphériques,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:56:23,45.781,4.82435,LYON(69004),O,7
900,65,agence15,a proposer,2,1,Sécuriser son ordinateur,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:55:59,45.781,4.82435,LYON(69004),N,36
899,65,agence15,a proposer,2,1,Formation Webmaster,"Formation informatique Tous niveaux (Débutants et Confirmés)

Ingénieur en Informatique propose ses services:
Initiation à l'informatique : prise en main de l''ordinateur , Formation en Bureautique (Windows XP/Vista/7/8, Word, Excel, PowerPoint , Outlook, Access , Publisher, Photos - Vidéos : transférer des films et/ou vidéos vers votre PC - trucage, retouche.
Internet : envoyer/recevoir des mails, utiliser les moteurs de recherche/annuaires,commerce électronique - publicité ,...
Apprendre à  utiliser les périphériques : scanner,graver sur CD/DVD, imprimer ,transférer des données clés USB
Sécurité : mots de passe ,connexions,anti-spams,anti-virus, pare-feux, Réseaux : paramétrage,liaison sans fil,
Formation webmaster (GoLive, Dreamweaver, HTML, PHP 
Formation programmeur (C, C++, Java, C# ...)
J'accepte les chèques d'emploi service universel (CESU).",20.00,par heure,NULL,2016-10-08 19:55:36,45.781,4.82435,LYON(69004),O,6
473,68,agence16,a proposer,2,10,Donne cours de français ,"Donne cours de français , langues, histoire soutient scolaire et prépare au bac

Je donne des cours de français et d'histoire de la primaire au lycée , ainsi que des cours de littérature  pour les élèves de lycée plus soutient scolaire.  

Diplômé du baccalauréat général section L mention assez bien au lycée Janson de Sailly ,je suis actuellement étudiante en première année de licence de lettres modernes à  la Sorbonne ; je prépare aussi les élèves au bac de français (note obtenu de ma part 19 à  l'oral et 14 à  l'écrit. ) si vous êtes intéressés me contacter rapidement je me déplace à domicile.",20.00,par heure,NULL,2016-10-03 15:06:17,48.8531,2.24876,PARIS(75016),O,44
